1;Федоров; Глеб;Михайлович;o@outlook.com;2L6KZG;1
2;Семенова;Софья;Дмитриевна;hr6zdl@yandex.ru;uzWC67;1
3;Васильев;Егор;Германович;kaft93x@outlook.com;8ntwUp;1
4;Смирнова;Ирина;Александровна;dcu@yandex.ru;YOyhfR;2
5;Петров;Андрей;Владимирович;19dn@outlook.com;RSbvHv;2
6;Егоров;Максим;Андреевич;pa5h@mail.ru;rwVDh9;2
7;Никитин;Артур;Алексеевич;281av0@gmail.com;LdNyos;3
8;Киселев;Максим;Сергеевич;8edmfh@outlook.com;gynQMT;3
9;Борисов;Тимур;Егорович;sfn13i@mail.ru;AtnDjr;3
10;Климов;Арсений;Тимурович;g0orc3x1@outlook.com;JlFRCZ;3
